customer_tweet_id,customer_text,brand_tweet_id,brand_text,customer_created_at,brand_created_at,raw_customer_text,raw_brand_text,intent,secondary_intent,secondery_intent
616,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",618,We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,Tue Oct 31 23:22:08 +0000 2017,Tue Oct 31 23:28:00 +0000 2017,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,genral_enquiry,order_delayed,order_delayed
617,Way to drop the ball on customer service @Amazon so pissed right now!,615,"I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",Tue Oct 31 22:16:32 +0000 2017,Tue Oct 31 22:29:00 +0000 2017,Way to drop the ball on customer service @115821 so pissed right now!,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",genral_enquiry,order_delayed,order_delayed
621,I want my amazon payments account CLOSED. dm me please.,620,"I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",Tue Oct 31 22:19:34 +0000 2017,Tue Oct 31 22:28:34 +0000 2017,@115823 I want my amazon payments account CLOSED.  dm me please.,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH",genral_enquiry,order_delayed,order_delayed
627,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,629,Thanks for your patience. ^KM,Wed Nov 01 12:50:18 +0000 2017,Wed Nov 01 12:53:34 +0000 2017,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@115827 Thanks for your patience. ^KM,genral_enquiry,order_delayed,order_delayed
628,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,626,I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,Tue Oct 31 21:57:24 +0000 2017,Tue Oct 31 22:28:00 +0000 2017,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,genral_enquiry,order_delayed,order_delayed
632,my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!! https://t.co/f6SaVBSMqM,631,I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,Tue Oct 31 21:34:58 +0000 2017,Tue Oct 31 22:27:00 +0000 2017,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,genral_enquiry,order_delayed,order_delayed
634,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,633,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,Tue Oct 31 21:39:58 +0000 2017,Tue Oct 31 22:26:37 +0000 2017,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,genral_enquiry,order_delayed,order_delayed
636,"Thanks for the style advice, @user look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",635,Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,Tue Oct 31 22:05:36 +0000 2017,Tue Oct 31 22:26:07 +0000 2017,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,genral_enquiry,order_delayed,order_delayed
640,Is the Echo Show no longer supported?,639,"The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",Tue Oct 31 01:03:01 +0000 2017,Tue Oct 31 01:09:35 +0000 2017,@AmazonHelp Is the Echo Show no longer supported?,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",genral_enquiry,order_delayed,order_delayed
643,"Bought an @Amazon Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?",642,"Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",Mon Oct 30 23:44:45 +0000 2017,Tue Oct 31 00:52:39 +0000 2017,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",genral_enquiry,order_delayed,order_delayed
645,That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,647,You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,Wed Nov 01 08:04:52 +0000 2017,Wed Nov 01 08:11:34 +0000 2017,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,genral_enquiry,order_delayed,order_delayed
